DACP_id,DACP_name,SW
673710,Springville CDP,Y
673962,Stanton city,Y
675000,Stockton city,Y
675280,Strathmore CDP,Y
675322,Strawberry CDP,Y
677392,Sutter Creek city,Y
677595,Taft Mosswood CDP,Y
678288,Terra Bella CDP,Y
678470,Thermalito CDP,Y
678638,Three Rivers CDP,Y
678652,Three Rocks CDP,Y
678715,Timber Cove CDP,Y
678890,Tomales CDP,Y
680448,Trinidad city,Y
680476,Trinity Center CDP,Y
680483,Trinity Village CDP,Y
680763,Tuolumne City CDP,Y
680896,Tuttletown CDP,Y
680966,Twain Harte CDP,Y
681134,Ukiah city,Y
681708,Valle Vista CDP,Y
682422,Vernon city,Y
682590,Victorville city,Y
682996,Vista city,Y
683402,Walnut Park CDP,Y
683570,Washington CDP,Y
683668,Watsonville city,Y
683766,Wawona CDP,Y
683794,Weaverville CDP,Y
684116,West Athens CDP,Y
684578,West Modesto CDP,Y
684680,West Park CDP,Y
684732,West Point CDP,Y
684780,West Rancho Dominguez CDP,Y
684592,Westmont CDP,Y
684606,Westmorland city,Y
685600,Willits city,Y
685614,Willowbrook CDP,Y
686944,Yreka city,Y
