DACP_id,DACP_name,GW
640536,Las Flores CDP,Y
640746,Laton CDP,Y
640872,La Vina CDP,Y
640928,Laytonville CDP,Y
640998,Lee Vining CDP,Y
641110,Lemon Cove CDP,Y
641142,Lemon Hill CDP,Y
641194,Lenwood CDP,Y
641278,Lewiston CDP,Y
641572,Linda CDP,Y
641740,Linnell Camp CDP,Y
641880,Littlerock CDP,Y
641936,Live Oak city,Y
642104,Lockeford CDP,Y
642202,Lodi city,Y
642328,Loleta CDP,Y
642524,Lompoc city,Y
642566,London CDP,Y
642580,Lone Pine CDP,Y
642622,Long Barn CDP,Y
644028,Los Banos city,Y
644140,Los Molinos CDP,Y
644280,Lost Hills CDP,Y
644350,Lower Lake CDP,Y
644364,Loyalton city,Y
644406,Lucerne CDP,Y
644420,Lucerne Valley CDP,Y
644574,Lynwood city,Y
644672,Mabie CDP,Y
644700,McArthur CDP,Y
644760,McClellan Park CDP,Y
644784,McCloud CDP,Y
644812,Macdoel CDP,Y
644826,McFarland city,Y
644924,McKittrick CDP,Y
645022,Madera city,Y
645120,Magalia CDP,Y
645232,Malaga CDP,Y
645736,Maricopa city,Y
646170,Marysville city,Y
646223,Matheny CDP,Y
646338,Maxwell CDP,Y
646660,Mecca CDP,Y
646828,Mendota city,Y
646898,Merced city,Y
647066,Mesa Verde CDP,Y
647164,Mettler CDP,Y
647192,Mexican Colony CDP,Y
647332,Middletown CDP,Y
647374,Midpines CDP,Y
647430,Midway City CDP,Y
648354,Modesto city,Y
648452,Mojave CDP,Y
648641,Mono Vista CDP,Y
648816,Montebello city,Y
648928,Monte Rio CDP,Y
649348,Morongo Valley CDP,Y
649488,Moss Landing CDP,Y
649544,Mountain Center CDP,Y
649600,Mountain Mesa CDP,Y
649796,Mount Hermon CDP,Y
649810,Mount Laguna CDP,Y
649852,Mount Shasta city,Y
650734,Needles city,Y
651028,New Cuyama CDP,Y
651042,Newell CDP,Y
651140,Newman city,Y
651812,North Edwards CDP,Y
651924,North Highlands CDP,Y
652246,North San Juan CDP,Y
652302,North Shore CDP,Y
652764,Oakhurst CDP,Y
653224,Oasis CDP,Y
653294,Oceano CDP,Y
653378,Ocotillo CDP,Y
653448,Oildale CDP,Y
653490,Olancha CDP,Y
653602,Old Station CDP,Y
653714,Olivehurst CDP,Y
653910,Onyx CDP,Y
654218,Orick CDP,Y
654274,Orland city,Y
654372,Orosi CDP,Y
654386,Oroville city,Y
655044,Pajaro CDP,Y
655086,Palermo CDP,Y
655254,Palm Springs city,Y
655422,Palo Verde CDP,Y
655520,Paradise town,Y
655528,Paradise CDP,Y
655618,Paramount city,Y
655751,Parksdale CDP,Y
655842,Parkwood CDP,Y
655856,Parlier city,Y
656120,Patterson Tract CDP,Y
656140,Patton Village CDP,Y
656294,Pearsonville CDP,Y
656518,Penn Valley CDP,Y
656700,Perris city,Y
657011,Pierpoint CDP,Y
657070,Pine Canyon CDP,Y
657148,Pine Grove CDP,Y
657240,Pine Mountain Club CDP,Y
657302,Pi5on Hills CDP,Y
657372,Piru CDP,Y
657512,Pixley CDP,Y
657568,Plainview CDP,Y
657582,Planada CDP,Y
657876,Point Arena city,Y
657960,Point Reyes Station CDP,Y
658134,Ponderosa CDP,Y
658191,Poplar-Cotton Center CDP,Y
658240,Porterville city,Y
658352,Portola city,Y
658478,Potrero CDP,Y
659080,Quincy CDP,Y
659220,Rail Road Flat CDP,Y
659290,Raisin City CDP,Y
659668,Randsburg CDP,Y
659892,Red Bluff city,Y
659920,Redding city,Y
660242,Reedley city,Y
660592,Richfield CDP,Y
660606,Richgrove CDP,Y
661012,Ripley CDP,Y
661096,Riverdale CDP,Y
661106,Riverdale Park CDP,Y
661124,River Pines CDP,Y
662168,Robbins CDP,Y
662496,Rodriguez Camp CDP,Y
662896,Rosemead city,Y
663134,Round Mountain CDP,Y
663148,Round Valley CDP,Y
664252,Salmon Creek CDP,Y
664294,Salton City CDP,Y
664308,Salton Sea Beach CDP,Y
664476,San Ardo CDP,Y
667056,Sanger city,Y
667112,San Jacinto city,Y
667126,San Joaquin city,Y
668140,San Lucas CDP,Y
668154,San Luis Obispo city,Y
668266,San Miguel CDP,Y
668434,San Simeon CDP,Y
670728,Searles Valley CDP,Y
670882,Selma city,Y
671078,Seville CDP,Y
671106,Shafter city,Y
671414,Sheridan CDP,Y
671680,Shoshone CDP,Y
671774,Sierra Brooks CDP,Y
671848,Sierraville CDP,Y
672086,Sisquoc CDP,Y
672156,Sky Valley CDP,Y
672338,Smith Corner CDP,Y
672380,Smith River CDP,Y
672520,Soledad city,Y
672996,South El Monte city,Y
673080,South Gate city,Y
673108,South Lake Tahoe city,Y
673388,South Taft CDP,Y
673710,Springville CDP,Y
675000,Stockton city,Y
675252,Stratford CDP,Y
675672,Sultana CDP,Y
678092,Tehachapi city,Y
678106,Tehama city,Y
678126,Temelec CDP,Y
678176,Tennant CDP,Y
678336,Teviston CDP,Y
678456,Thermal CDP,Y
678470,Thermalito CDP,Y
678568,Thornton CDP,Y
678596,Thousand Palms CDP,Y
678750,Tipton CDP,Y
678949,Tooleville CDP,Y
680266,Tranquillity CDP,Y
680280,Traver CDP,Y
680644,Tulare city,Y
680686,Tulelake city,Y
680784,Tupman CDP,Y
680952,Twain CDP,Y
680966,Twain Harte CDP,Y
680994,Twentynine Palms city,Y
681134,Ukiah city,Y
681302,University of California-Davis CDP,Y
681358,Upper Lake CDP,Y
681708,Valle Vista CDP,Y
681722,Valley Acres CDP,Y
681778,Valley Ford CDP,Y
682562,Victor CDP,Y
682590,Victorville city,Y
682786,Vina CDP,Y
683108,Volta CDP,Y
683402,Walnut Park CDP,Y
683542,Wasco city,Y
683612,Waterford city,Y
683668,Watsonville city,Y
683850,Weed city,Y
683863,Weedpatch CDP,Y
683948,Weldon CDP,Y
684480,Westley CDP,Y
684578,West Modesto CDP,Y
684780,West Rancho Dominguez CDP,Y
684928,Westwood CDP,Y
685208,Whitewater CDP,Y
685614,Willowbrook CDP,Y
685684,Willows city,Y
685866,Wilsonia CDP,Y
686020,Winterhaven CDP,Y
686076,Winton CDP,Y
686174,Wofford Heights CDP,Y
686300,Woodlake city,Y
686482,Woodville CDP,Y
686734,Yettem CDP,Y
686912,Yosemite Valley CDP,Y
686944,Yreka city,Y
687056,Yucca Valley town,Y
607162,Blue Lake city,Y
645414,Manila CDP,Y
684680,West Park CDP,Y
684345,West Goshen CDP,Y
648676,Monson CDP,Y
641040,Le Grand CDP,Y
6255506,Franklin CDP,Y
